WPPostId,CommonName,ObservationLocation,HasImage,ImageURL,HasGPS,Latitude,Longitude
200530,Thread-waisted wasp,near Moose Hill,true,https://sharonfoc.org/wp-content/uploads/2026/07/Common-thread-waisted-wasp-7-11-26.jpeg,false,,
200516,American Black Bear,Gunhouse St. near Deborah Sampson Park,true,https://sharonfoc.org/wp-content/uploads/2026/07/Black-bear-7-5-26-303pm.jpeg,false,,
200519,Rasberry Slime Mold,Trowel Pond trail,true,https://sharonfoc.org/wp-content/uploads/ninja-forms/10/PXL_20260627_162227517cbg.jpg,true,42.14414166666667,-71.17691944444445
200525,Coral Slime Mold,Trowl Pond trail,true,https://sharonfoc.org/wp-content/uploads/2026/07/Coral-slime-mold-Gaurav-Shah-6-28-26.jpeg,false,,
200523,Wolf’s Milk Slime Mold,Borderland State Park,true,https://sharonfoc.org/wp-content/uploads/ninja-forms/10/lycogala.jpg,false,,
200495,Barn Swallow,stone hut by Upper Leach Pond at Borderland State Park,true,https://sharonfoc.org/wp-content/uploads/2026/06/DSC8489-1.jpeg,false,,
200489,Eastern Box Turtle,Moose Hill Farm,false,,false,,
200501,Little Wood Satyr butterfly,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/06/Wood-satyr-5-26-26-740am.jpeg,false,,
200504,Ash Tree (diseased),Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/06/Dead-ash-tree-5-26-26-640am-scaled.jpeg,false,,
200460,Magnolia Warbler,Trustees of Reservations’ Moose Hill Farm,true,https://sharonfoc.org/wp-content/uploads/2026/05/Magnolia-warbler-5-20-26-725am.jpeg,false,,
200455,Leopard’s-bane,Sharon Historical Society at 16 High St.,true,https://sharonfoc.org/wp-content/uploads/2026/05/leopards-bane-5-19-26-1035am.jpeg,false,,
200444,Yellow-billed Cuckoo,Moose Hill Audubon Wildlife Sanctuary (by the field behind the barn on the Billings Loop),true,https://sharonfoc.org/wp-content/uploads/2026/05/Yellow-billed-cuckoo-5-19-26-844am.jpeg,false,,
200447,Cedar Waxwing,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Cedar-waxwing-back-5-19-26-730am.jpeg,false,,
200458,Eastern Box Turtle,Moose Hill Farm,true,https://sharonfoc.org/wp-content/uploads/ninja-forms/10/20260516_085514.jpg,false,,
200422,American redstart,TTOR’s Moose Hill Farm,true,https://sharonfoc.org/wp-content/uploads/2026/05/Redstart-5-13-26-551pm.jpeg,false,,
200429,Indigo Bunting,Moose Hill Farm (TTOR) under the power lines,true,https://sharonfoc.org/wp-content/uploads/2026/05/Indigo-bunting-5-13-26-401pm.jpeg,false,,
200434,Great-crested flycatcher,TTOR’s Moose Hill Farm,true,https://sharonfoc.org/wp-content/uploads/2026/05/Great-crested-flycatcher-5-13-26-240pm.jpeg,false,,
200410,Yellow warbler,near Billings Brook,true,https://sharonfoc.org/wp-content/uploads/2026/05/Yellow-warbler-5-12-26-409pm.jpeg,false,,
200406,Brown Thrasher,Gavins Pond Road near soccer field parking lot,true,https://sharonfoc.org/wp-content/uploads/2026/05/Brown-thrasher-5-12-26-753am.jpeg,false,,
200419,Common Yellowthroat,Moose Hill Audubon Wildlife Sanctuary (boardwalk),true,https://sharonfoc.org/wp-content/uploads/2026/05/Common-yellowthroat-5-11-26-1027am.jpeg,false,,
200416,Warbling Vireo,near Gavins Pond,true,https://sharonfoc.org/wp-content/uploads/2026/05/Warbling-vireo-5-12-26-735am.jpeg,false,,
200395,Blue-winged Warbler,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Blue-winged-warbler-5-7-26.jpeg,false,,
200391,Ovenbird,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Ovenbird-5-7-26-1215pm.jpeg,false,,
200398,Red-tailed Hawk,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Red-tailed-hawk-5-7-26-1110am-scaled.jpeg,false,,
200401,Baltimore Oriole,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Baltimore-oriole-5-7-26-835am.jpeg,false,,
200387,White-lipped Snail,Gavins Pond Road,true,https://sharonfoc.org/wp-content/uploads/2026/05/Brown-lipped-snail-5-6-26-810am.jpeg,false,,
200371,Worm-eating Warbler,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Worm-eating-warbler-5-5-26-1026am.jpeg,false,,
200350,Scarlet Tanager,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Scarlet-tanager-5-5-26-940am.jpeg,false,,
200361,Yellow-rumped Warbler (a.k.a. Myrtle Warbler),Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Yellow-rumped-warbler-5-5-26-910am.jpeg,false,,
200356,Red-tailed Hawk,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/red-tailed-hawk-5-5-26-845am.jpeg,false,,
200379,Baltimore Oriole,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Baltimore-oriole-5-4-26-846am.jpeg,false,,
200337,Brown Creeper,Near the foot bridge over Beaver Brook by the tennis courts,true,https://sharonfoc.org/wp-content/uploads/2026/05/Brown-creeper-5-1-26-930am.jpeg,false,,
200326,Mourning Dove,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/Mourning-dove-5-1-26-845am-scaled.jpeg,false,,
200329,Palm Warbler,Moose Hill Audubon Wildlife Sanctuary (Billings Loop),true,https://sharonfoc.org/wp-content/uploads/2026/05/Palm-Warbler-5-1-26-701am.jpeg,false,,
200345,White-throated Sparrow,Moose Hill Audubon Wildlife Sanctuary,true,https://sharonfoc.org/wp-content/uploads/2026/05/White-throated-sparrow-5-1-26-715am.jpeg,false,,
